epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4380.06,1.32217,2.70834,1.65566,0.45034,0.42182,0.43454,0.26276,1.55677,3.09554,1.8509,0.00064855,0.00064855,0.00064855
73,4423.6,1.29157,2.67668,1.61978,0.5409,0.42265,0.45916,0.27547,1.6223,3.15575,1.90127,0.0006436,0.0006436,0.0006436
74,4467.11,1.29711,2.62066,1.61341,0.39203,0.43457,0.43376,0.2693,1.60016,3.20567,1.84275,0.00063865,0.00063865,0.00063865
75,4510.22,1.28219,2.64139,1.61145,0.36156,0.4996,0.43983,0.25669,1.6827,3.11474,1.93234,0.0006337,0.0006337,0.0006337
76,4553.89,1.25011,2.57319,1.59848,0.47817,0.46028,0.44434,0.26457,1.71506,3.07948,1.96652,0.00062875,0.00062875,0.00062875
77,4596.66,1.28596,2.56683,1.59968,0.40875,0.42099,0.4373,0.27998,1.60288,3.05967,1.88461,0.0006238,0.0006238,0.0006238
78,4639.87,1.26483,2.54836,1.60452,0.45142,0.4431,0.44541,0.27781,1.62431,3.02565,1.86908,0.00061885,0.00061885,0.00061885
79,4683.09,1.28908,2.59906,1.61225,0.42836,0.47391,0.42723,0.28829,1.50293,2.97479,1.7425,0.0006139,0.0006139,0.0006139
80,4726.62,1.2881,2.6401,1.6193,0.38403,0.51051,0.40843,0.2604,1.5739,2.89157,1.83827,0.00060895,0.00060895,0.00060895
81,4769.48,1.25724,2.5379,1.61459,0.43682,0.45473,0.45637,0.2854,1.53043,3.0543,1.8151,0.000604,0.000604,0.000604
82,4813.05,1.28162,2.64895,1.61818,0.43464,0.40735,0.39989,0.24941,1.59472,3.13676,1.86782,0.00059905,0.00059905,0.00059905
83,4856.19,1.26947,2.51737,1.59922,0.61617,0.37452,0.38845,0.24573,1.63091,3.16335,1.89904,0.0005941,0.0005941,0.0005941
84,4899.47,1.25981,2.52803,1.58719,0.42811,0.48801,0.41258,0.26201,1.62015,3.0026,1.90549,0.00058915,0.00058915,0.00058915
85,4942.95,1.28191,2.53574,1.61421,0.46956,0.46987,0.44264,0.26975,1.583,3.00463,1.8876,0.0005842,0.0005842,0.0005842
86,4986.32,1.25131,2.49386,1.59469,0.43956,0.44533,0.42491,0.24852,1.62594,2.90477,1.91148,0.00057925,0.00057925,0.00057925
87,5028.89,1.2426,2.49544,1.57978,0.48898,0.43977,0.42661,0.28013,1.52408,2.96911,1.83443,0.0005743,0.0005743,0.0005743
88,5072.29,1.28552,2.50816,1.61548,0.4485,0.47843,0.45406,0.269,1.56645,3.06787,1.84557,0.00056935,0.00056935,0.00056935
89,5115,1.24132,2.42927,1.57945,0.46978,0.45534,0.44241,0.27798,1.49424,2.97701,1.77219,0.0005644,0.0005644,0.0005644
90,5158.49,1.22493,2.40102,1.5636,0.46036,0.45981,0.45118,0.27778,1.55644,2.96064,1.8455,0.00055945,0.00055945,0.00055945
91,5201.8,1.27949,2.42664,1.59845,0.37122,0.42596,0.38612,0.23381,1.62135,3.12693,1.90236,0.0005545,0.0005545,0.0005545
92,5245.88,1.25021,2.40798,1.5667,0.48523,0.44451,0.42483,0.25115,1.63948,3.17004,1.90626,0.00054955,0.00054955,0.00054955
93,5288.73,1.23249,2.38218,1.57351,0.44343,0.49366,0.41652,0.26436,1.58921,3.02277,1.85665,0.0005446,0.0005446,0.0005446
94,5332.2,1.22111,2.4303,1.57218,0.45944,0.46003,0.42442,0.27084,1.66412,2.96162,1.92009,0.00053965,0.00053965,0.00053965
95,5375.37,1.23257,2.33522,1.57773,0.35267,0.48937,0.39558,0.24062,1.68512,3.20082,1.95943,0.0005347,0.0005347,0.0005347
96,5418.21,1.2167,2.2867,1.54275,0.49958,0.4451,0.41944,0.2447,1.59188,2.94374,1.85498,0.00052975,0.00052975,0.00052975
97,5461.67,1.22615,2.41013,1.57181,0.43721,0.37982,0.38473,0.23845,1.61361,3.06173,1.88077,0.0005248,0.0005248,0.0005248
