epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1562.47,1.34662,1.86231,1.67037,0.44479,0.30245,0.28735,0.19034,1.59683,2.41091,1.96485,0.00073765,0.00073765,0.00073765
55,1590.74,1.33052,1.85756,1.67558,0.45004,0.32678,0.28643,0.19019,1.67521,2.45203,2.01323,0.0007327,0.0007327,0.0007327
56,1619.53,1.34349,1.81814,1.67344,0.60245,0.29145,0.29541,0.17838,1.77214,2.43733,2.11667,0.00072775,0.00072775,0.00072775
57,1647.9,1.30122,1.744,1.63511,0.57422,0.26985,0.29794,0.18037,1.77904,2.43077,2.10659,0.0007228,0.0007228,0.0007228
58,1676.11,1.38986,1.89698,1.7055,0.46472,0.35451,0.29828,0.1859,1.68146,2.51426,2.01172,0.00071785,0.00071785,0.00071785
59,1704.77,1.42742,1.92539,1.75621,0.44572,0.33849,0.25367,0.15897,1.60333,2.65143,1.97098,0.0007129,0.0007129,0.0007129
60,1732.91,1.27918,1.86007,1.62415,0.27927,0.33624,0.27173,0.15282,1.77367,2.41335,2.11603,0.00070795,0.00070795,0.00070795
61,1761.36,1.32827,1.8257,1.66574,0.42464,0.32227,0.28528,0.1584,1.77058,2.30463,2.12018,0.000703,0.000703,0.000703
62,1789.91,1.34065,1.86229,1.70178,0.52824,0.27479,0.2948,0.17663,1.68367,2.30905,2.03451,0.00069805,0.00069805,0.00069805
63,1818.69,1.28753,1.79151,1.64196,0.52275,0.24392,0.28447,0.16494,1.7864,2.34057,2.15362,0.0006931,0.0006931,0.0006931
64,1848.04,1.28938,1.71587,1.62035,0.50025,0.26714,0.26794,0.17076,1.71837,2.48444,2.02776,0.00068815,0.00068815,0.00068815
